datetime,open,high,low,close
2012-11-15 22:00:00,1.27801,1.27835,1.27777,1.27810
2012-11-15 23:00:00,1.27809,1.27837,1.27686,1.27736
2012-11-16 00:00:00,1.27738,1.27769,1.27706,1.27734
2012-11-16 01:00:00,1.27738,1.27762,1.27673,1.27695
2012-11-16 02:00:00,1.27694,1.27771,1.27641,1.27724
2012-11-16 03:00:00,1.27724,1.27736,1.27677,1.27702
2012-11-16 04:00:00,1.27700,1.27770,1.27674,1.27678
2012-11-16 05:00:00,1.27680,1.27731,1.27558,1.27573
2012-11-16 06:00:00,1.27574,1.27627,1.27463,1.27562
2012-11-16 07:00:00,1.27564,1.27595,1.27426,1.27499
2012-11-16 08:00:00,1.27505,1.27509,1.27256,1.27328
2012-11-16 09:00:00,1.27327,1.27408,1.27236,1.27319
2012-11-16 10:00:00,1.27319,1.27405,1.27274,1.27358
2012-11-16 11:00:00,1.27358,1.27454,1.27306,1.27427
2012-11-16 12:00:00,1.27425,1.27528,1.27365,1.27367
2012-11-16 13:00:00,1.27368,1.27459,1.27276,1.27305
2012-11-16 14:00:00,1.27303,1.27327,1.26905,1.27048
2012-11-16 15:00:00,1.27049,1.27159,1.26938,1.27138
2012-11-16 16:00:00,1.27140,1.27298,1.27104,1.27221
2012-11-16 17:00:00,1.27220,1.27360,1.27189,1.27291
2012-11-16 18:00:00,1.27290,1.27296,1.27197,1.27266
2012-11-16 19:00:00,1.27268,1.27449,1.27207,1.27364
2012-11-16 20:00:00,1.27362,1.27430,1.27356,1.27418
2012-11-18 22:00:00,1.27411,1.27602,1.27396,1.27579
2012-11-18 23:00:00,1.27578,1.27596,1.27454,1.27504
2012-11-19 00:00:00,1.27504,1.27621,1.27479,1.27533
2012-11-19 01:00:00,1.27532,1.27726,1.27521,1.27679
2012-11-19 02:00:00,1.27685,1.27708,1.27624,1.27645
2012-11-19 03:00:00,1.27644,1.27651,1.27570,1.27590
2012-11-19 04:00:00,1.27591,1.27628,1.27564,1.27578
2012-11-19 05:00:00,1.27578,1.27689,1.27565,1.27658
2012-11-19 06:00:00,1.27654,1.27733,1.27612,1.27620
2012-11-19 07:00:00,1.27620,1.27867,1.27517,1.27821
2012-11-19 08:00:00,1.27826,1.27836,1.27656,1.27743
2012-11-19 09:00:00,1.27742,1.27783,1.27624,1.27686
2012-11-19 10:00:00,1.27683,1.27779,1.27654,1.27720
2012-11-19 11:00:00,1.27720,1.27729,1.27600,1.27630
2012-11-19 12:00:00,1.27629,1.27719,1.27585,1.27699
2012-11-19 13:00:00,1.27700,1.27887,1.27697,1.27851
2012-11-19 14:00:00,1.27849,1.28188,1.27776,1.28143
2012-11-19 15:00:00,1.28145,1.28176,1.28037,1.28049
2012-11-19 16:00:00,1.28048,1.28104,1.27986,1.28017
2012-11-19 17:00:00,1.28016,1.28079,1.28005,1.28037
2012-11-19 18:00:00,1.28036,1.28101,1.28006,1.28071
2012-11-19 19:00:00,1.28072,1.28103,1.27996,1.28093
2012-11-19 20:00:00,1.28094,1.28164,1.28088,1.28128
2012-11-19 21:00:00,1.28127,1.28146,1.27665,1.27808
2012-11-19 22:00:00,1.27806,1.27883,1.27646,1.27659
2012-11-19 23:00:00,1.27659,1.27836,1.27647,1.27807
2012-11-20 00:00:00,1.27807,1.27905,1.27785,1.27831
2012-11-20 01:00:00,1.27831,1.27892,1.27826,1.27877
2012-11-20 02:00:00,1.27874,1.28104,1.27848,1.28028
2012-11-20 03:00:00,1.28029,1.28055,1.27934,1.27959
2012-11-20 04:00:00,1.27961,1.27997,1.27935,1.27985
2012-11-20 05:00:00,1.27979,1.27979,1.27837,1.27855
2012-11-20 06:00:00,1.27853,1.28054,1.27815,1.27871
2012-11-20 07:00:00,1.27871,1.28171,1.27739,1.27844
2012-11-20 08:00:00,1.27845,1.28070,1.27837,1.27943
2012-11-20 09:00:00,1.27941,1.28206,1.27936,1.28099
2012-11-20 10:00:00,1.28099,1.28186,1.28035,1.28120
2012-11-20 11:00:00,1.28114,1.28152,1.27936,1.28006
2012-11-20 12:00:00,1.28005,1.28276,1.27989,1.28089
