datetime,open,high,low,close
2012-11-15 23:00:00,103.681,103.873,103.619,103.646
2012-11-16 00:00:00,103.643,103.684,103.584,103.633
2012-11-16 01:00:00,103.635,103.686,103.561,103.580
2012-11-16 02:00:00,103.580,103.686,103.395,103.633
2012-11-16 03:00:00,103.634,103.644,103.496,103.564
2012-11-16 04:00:00,103.562,103.581,103.416,103.422
2012-11-16 05:00:00,103.423,103.509,103.228,103.326
2012-11-16 06:00:00,103.327,103.563,103.234,103.475
2012-11-16 07:00:00,103.473,103.476,103.142,103.289
2012-11-16 08:00:00,103.294,103.309,103.042,103.206
2012-11-16 09:00:00,103.207,103.413,103.127,103.285
2012-11-16 10:00:00,103.287,103.423,103.245,103.417
2012-11-16 11:00:00,103.423,103.423,103.287,103.386
2012-11-16 12:00:00,103.383,103.499,103.335,103.346
2012-11-16 13:00:00,103.347,103.454,103.303,103.343
2012-11-16 14:00:00,103.344,103.356,103.079,103.232
2012-11-16 15:00:00,103.234,103.382,103.112,103.339
2012-11-16 16:00:00,103.340,103.627,103.318,103.575
2012-11-16 17:00:00,103.575,103.637,103.507,103.548
2012-11-16 18:00:00,103.547,103.552,103.256,103.361
2012-11-16 19:00:00,103.362,103.549,103.339,103.477
2012-11-16 20:00:00,103.476,103.676,103.470,103.590
2012-11-16 21:00:00,103.592,103.592,103.592,103.592
2012-11-18 22:00:00,103.746,104.050,103.674,104.047
2012-11-18 23:00:00,104.047,104.084,103.793,103.842
2012-11-19 00:00:00,103.841,103.876,103.543,103.662
2012-11-19 01:00:00,103.661,103.793,103.628,103.673
2012-11-19 02:00:00,103.673,103.772,103.634,103.692
2012-11-19 03:00:00,103.694,103.708,103.505,103.545
2012-11-19 04:00:00,103.550,103.716,103.544,103.641
2012-11-19 05:00:00,103.644,103.796,103.631,103.749
2012-11-19 06:00:00,103.748,103.865,103.702,103.734
2012-11-19 07:00:00,103.735,103.884,103.525,103.850
2012-11-19 08:00:00,103.847,103.883,103.684,103.806
2012-11-19 09:00:00,103.805,103.879,103.583,103.639
2012-11-19 10:00:00,103.639,103.773,103.613,103.642
2012-11-19 11:00:00,103.640,103.648,103.529,103.607
2012-11-19 12:00:00,103.606,103.713,103.550,103.665
2012-11-19 13:00:00,103.667,103.863,103.663,103.821
2012-11-19 14:00:00,103.820,104.054,103.797,103.959
2012-11-19 15:00:00,103.960,104.019,103.910,103.948
2012-11-19 16:00:00,103.944,104.040,103.883,103.900
2012-11-19 17:00:00,103.901,103.951,103.891,103.946
2012-11-19 18:00:00,103.944,104.191,103.911,104.182
2012-11-19 19:00:00,104.181,104.242,104.122,104.242
2012-11-19 20:00:00,104.243,104.320,104.226,104.304
2012-11-19 21:00:00,104.304,104.314,103.774,103.940
2012-11-19 22:00:00,103.939,104.019,103.850,103.867
2012-11-19 23:00:00,103.868,104.028,103.844,103.935
