datetime,open,high,low,close
2012-11-16 06:00:00,0.80439,0.80442,0.80292,0.80313
2012-11-16 07:00:00,0.80311,0.80350,0.80242,0.80262
2012-11-16 08:00:00,0.80265,0.80272,0.80200,0.80236
2012-11-16 09:00:00,0.80234,0.80313,0.80212,0.80308
2012-11-16 10:00:00,0.80309,0.80374,0.80292,0.80307
2012-11-16 11:00:00,0.80302,0.80331,0.80245,0.80298
2012-11-16 12:00:00,0.80294,0.80316,0.80212,0.80229
2012-11-16 13:00:00,0.80234,0.80277,0.80206,0.80220
2012-11-16 14:00:00,0.80218,0.80232,0.80089,0.80172
2012-11-16 15:00:00,0.80176,0.80184,0.80112,0.80135
2012-11-16 16:00:00,0.80137,0.80191,0.80111,0.80158
2012-11-16 17:00:00,0.80160,0.80210,0.80111,0.80139
2012-11-16 18:00:00,0.80142,0.80142,0.80089,0.80118
2012-11-16 19:00:00,0.80116,0.80182,0.80097,0.80142
2012-11-16 20:00:00,0.80143,0.80219,0.80141,0.80205
2012-11-18 22:00:00,0.80165,0.80243,0.80159,0.80238
2012-11-18 23:00:00,0.80240,0.80252,0.80181,0.80216
2012-11-19 00:00:00,0.80214,0.80231,0.80146,0.80147
2012-11-19 01:00:00,0.80146,0.80231,0.80141,0.80208
2012-11-19 02:00:00,0.80209,0.80213,0.80167,0.80173
2012-11-19 03:00:00,0.80174,0.80183,0.80127,0.80138
2012-11-19 04:00:00,0.80141,0.80189,0.80122,0.80176
2012-11-19 05:00:00,0.80176,0.80221,0.80134,0.80205
2012-11-19 06:00:00,0.80202,0.80280,0.80176,0.80253
2012-11-19 07:00:00,0.80251,0.80372,0.80163,0.80344
2012-11-19 08:00:00,0.80342,0.80367,0.80278,0.80340
2012-11-19 09:00:00,0.80338,0.80365,0.80215,0.80236
2012-11-19 10:00:00,0.80240,0.80320,0.80208,0.80303
2012-11-19 11:00:00,0.80305,0.80319,0.80269,0.80295
2012-11-19 12:00:00,0.80287,0.80338,0.80280,0.80307
2012-11-19 13:00:00,0.80310,0.80388,0.80261,0.80336
2012-11-19 14:00:00,0.80339,0.80542,0.80337,0.80524
2012-11-19 15:00:00,0.80525,0.80534,0.80455,0.80490
2012-11-19 16:00:00,0.80487,0.80537,0.80448,0.80463
2012-11-19 17:00:00,0.80462,0.80514,0.80454,0.80503
2012-11-19 18:00:00,0.80499,0.80524,0.80480,0.80521
2012-11-19 19:00:00,0.80522,0.80531,0.80495,0.80527
2012-11-19 20:00:00,0.80528,0.80545,0.80516,0.80535
2012-11-19 21:00:00,0.80535,0.80536,0.80251,0.80339
2012-11-19 22:00:00,0.80337,0.80392,0.80311,0.80316
2012-11-19 23:00:00,0.80317,0.80407,0.80308,0.80388
2012-11-20 00:00:00,0.80389,0.80418,0.80356,0.80372
2012-11-20 01:00:00,0.80373,0.80382,0.80345,0.80351
2012-11-20 02:00:00,0.80349,0.80473,0.80333,0.80435
2012-11-20 03:00:00,0.80434,0.80444,0.80369,0.80381
2012-11-20 04:00:00,0.80380,0.80412,0.80368,0.80394
2012-11-20 05:00:00,0.80391,0.80398,0.80320,0.80356
2012-11-20 06:00:00,0.80357,0.80448,0.80334,0.80358
2012-11-20 07:00:00,0.80358,0.80502,0.80313,0.80406
2012-11-20 08:00:00,0.80405,0.80474,0.80382,0.80419
2012-11-20 09:00:00,0.80417,0.80473,0.80409,0.80433
2012-11-20 10:00:00,0.80434,0.80458,0.80375,0.80447
2012-11-20 11:00:00,0.80443,0.80456,0.80392,0.80440
2012-11-20 12:00:00,0.80440,0.80511,0.80415,0.80449
2012-11-20 13:00:00,0.80444,0.80455,0.80350,0.80427
2012-11-20 14:00:00,0.80426,0.80491,0.80395,0.80433
2012-11-20 15:00:00,0.80429,0.80523,0.80424,0.80452
2012-11-20 16:00:00,0.80447,0.80484,0.80370,0.80419
2012-11-20 17:00:00,0.80419,0.80450,0.80378,0.80417
