datetime,open,high,low,close
2012-12-03 22:00:00,0.99476,0.99535,0.99144,0.99307
2012-12-04 22:00:00,0.99307,0.99408,0.99073,0.99198
2012-12-05 22:00:00,0.99198,0.99257,0.98916,0.99166
2012-12-06 22:00:00,0.99160,0.99329,0.98754,0.98826
2012-12-09 22:00:00,0.98711,0.98877,0.98604,0.98613
2012-12-10 22:00:00,0.98615,0.98795,0.98566,0.98611
2012-12-11 22:00:00,0.98612,0.98652,0.98253,0.98459
2012-12-12 22:00:00,0.98453,0.98548,0.98239,0.98444
2012-12-13 22:00:00,0.98445,0.98649,0.98310,0.98544
2012-12-16 22:00:00,0.98561,0.98807,0.98312,0.98365
2012-12-17 22:00:00,0.98363,0.98598,0.98313,0.98588
2012-12-18 22:00:00,0.98589,0.98907,0.98485,0.98903
2012-12-19 22:00:00,0.98901,0.98957,0.98686,0.98751
2012-12-20 22:00:00,0.98763,0.99525,0.98741,0.99309
2012-12-23 22:00:00,0.99326,0.99442,0.99096,0.99106
2012-12-25 22:00:00,0.99187,0.99503,0.99118,0.99356
2012-12-26 22:00:00,0.99356,0.99577,0.99075,0.99498
2012-12-27 22:00:00,0.99497,0.99700,0.99377,0.99678
2012-12-30 22:00:00,0.99532,0.99698,0.99091,0.99476
2012-12-31 22:00:00,0.99281,0.99313,0.99200,0.99266
2013-01-01 22:00:00,0.99266,0.99430,0.98360,0.98541
2013-01-02 22:00:00,0.98537,0.98869,0.98420,0.98852
2013-01-03 22:00:00,0.98851,0.99230,0.98478,0.98708
2013-01-06 22:00:00,0.98613,0.98844,0.98524,0.98577
2013-01-07 22:00:00,0.98576,0.98823,0.98426,0.98659
2013-01-08 22:00:00,0.98659,0.98805,0.98541,0.98771
2013-01-09 22:00:00,0.98772,0.98796,0.98272,0.98317
2013-01-10 22:00:00,0.98324,0.98528,0.98151,0.98472
2013-01-13 22:00:00,0.98443,0.98657,0.98306,0.98396
2013-01-14 22:00:00,0.98398,0.98663,0.98308,0.98427
2013-01-15 22:00:00,0.98425,0.98772,0.98369,0.98618
2013-01-16 22:00:00,0.98619,0.98853,0.98424,0.98558
2013-01-17 22:00:00,0.98556,0.99461,0.98533,0.99147
2013-01-20 22:00:00,0.99213,0.99385,0.99088,0.99263
2013-01-21 22:00:00,0.99263,0.99453,0.99082,0.99193
2013-01-22 22:00:00,0.99195,1.00041,0.99026,0.99967
2013-01-23 22:00:00,0.99966,1.00356,0.99895,1.00222
2013-01-24 22:00:00,1.00222,1.00996,1.00207,1.00565
2013-01-27 22:00:00,1.00664,1.00997,1.00573,1.00593
2013-01-28 22:00:00,1.00597,1.00661,1.00068,1.00135
2013-01-29 22:00:00,1.00136,1.00521,1.00080,1.00163
2013-01-30 22:00:00,1.00164,1.00342,0.99565,0.99674
2013-01-31 22:00:00,0.99671,1.00035,0.99633,0.99633
2013-02-03 22:00:00,0.99657,0.99924,0.99473,0.99901
2013-02-04 22:00:00,0.99901,0.99941,0.99488,0.99539
2013-02-05 22:00:00,0.99540,0.99883,0.99502,0.99569
2013-02-06 22:00:00,0.99569,0.99936,0.99318,0.99768
2013-02-07 22:00:00,0.99767,1.00348,0.99700,1.00197
2013-02-10 22:00:00,1.00300,1.00831,1.00264,1.00520
2013-02-11 22:00:00,1.00520,1.00875,1.00136,1.00157
2013-02-12 22:00:00,1.00158,1.00435,1.00115,1.00140
2013-02-13 22:00:00,1.00138,1.00237,0.99988,1.00064
2013-02-14 22:00:00,1.00065,1.00819,1.00012,1.00619
2013-02-17 22:00:00,1.00752,1.01206,1.00568,1.01054
2013-02-18 22:00:00,1.01060,1.01375,1.01007,1.01168
2013-02-19 22:00:00,1.01169,1.01846,1.01084,1.01637
2013-02-20 22:00:00,1.01637,1.02073,1.01623,1.01782
2013-02-21 22:00:00,1.01780,1.02559,1.01585,1.02119
2013-02-24 22:00:00,1.02199,1.02766,1.02199,1.02567
2013-02-25 22:00:00,1.02567,1.03027,1.02398,1.02537
2013-02-26 22:00:00,1.02537,1.02771,1.02264,1.02337
2013-02-27 22:00:00,1.02340,1.03126,1.02163,1.03023
2013-02-28 22:00:00,1.03024,1.03414,1.02619,1.02657
2013-03-03 22:00:00,1.02730,1.03091,1.02680,1.02733
2013-03-04 22:00:00,1.02735,1.02932,1.02553,1.02721
2013-03-05 22:00:00,1.02726,1.03366,1.02543,1.03222
